Season Number,Startup Name,Season Start,Season End,Episode Number,Episode Title,Anchor,Pitch Number,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name,Ashneer Present,Namita Present,Anupam Present,Vineeta Present,Aman Present,Peyush Present,Ghazal Present,Amit Present,Guest Present
1,BluePineFoods,20-12-2021,4/2/2022,1,Badlegi Business Ki Tasveer,Rannvijay Singh,1,Food,Frozen Momos,https://bluepinefoods.com/,3,2,1,0,0,,2016,Delhi,Delhi,95,8,0,0,50,5,1000,1,1,75,16,0,0,469,3,0,0,25,5.33,0,0,0,0,0,0,0,25,5.33,0,25,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,BoozScooters,20-12-2021,4/2/2022,1,Badlegi Business Ki Tasveer,Rannvijay Singh,2,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,1,1,0,0,0,,2017,Ahmedabad,Gujarat,4,0.4,0,0,40,15,267,1,1,40,50,0,0,80,2,0,0,20,25,0,0,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,HeartUpMySleeves,20-12-2021,4/2/2022,1,Badlegi Business Ki Tasveer,Rannvijay Singh,3,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,1,0,1,0,0,,2021,Delhi,Delhi,0,2,0,0,25,10,250,1,1,25,30,0,0,83,2,0,0,0,0,0,0,0,0,12.5,15,0,12.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,TagzFoods,20-12-2021,4/2/2022,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,4,Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2,2,0,0,0,,2019,Bangalore,Karnataka,700,0,48,0,70,1,7000,1,1,70,2.75,0,0,2545,1,0,0,70,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,HeadAndHeart,20-12-2021,4/2/2022,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,5,Education,Brain Development Course,https://thehnh.in/,4,1,3,0,1,,2015,Patiala,Punjab,30,0,0,0,50,5,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,Agritourism,20-12-2021,4/2/2022,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,6,Agriculture,Tourism,https://www.agritourism.in/,2,1,1,0,1,,2005,Baramati,Maharashtra,79,0,0,0,50,5,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,qZenseLabs,20-12-2021,4/2/2022,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,7,Food,Food Freshness Detector,https://www.qzense.com/,2,0,2,0,0,,2020,"Delhi,Mohali","Delhi,Punjab",25,0,0,0,100,0.25,40000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,Peeschute,20-12-2021,4/2/2022,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,8,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,1,1,0,0,0,,2019,Jalna,Maharashtra,100,0,0,0,75,4,1875,1,1,75,6,0,0,1250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,NOCD,20-12-2021,4/2/2022,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,9,Food,Energy Drink,https://www.jouleshealth.com/,2,2,0,0,0,,2019,Bangalore,Karnataka,0,20,0,0,50,2,2500,1,1,20,15,30,0,133,1,0,0,0,0,0,0,0,0,0,0,0,20,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,CosIQ,20-12-2021,4/2/2022,4,Entrepreneurship Ki Wave,Rannvijay Singh,10,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2,1,1,0,1,,2021,Delhi,Delhi,0,4,75,0,50,7.5,667,1,1,50,25,0,0,200,2,0,0,0,0,0,0,0,0,25,12.5,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
